,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
23,5.4774,1013.4,87.768,3.5139,23.013,1079.7,550.13,129.19,11.605,0.6789,82.624
24,5.3784,1013.1,86.562,3.5598,23.419,1082.2,550.1,131.08,11.667,0.67688,84.05
25,5.2236,1012.8,87.093,3.5058,22.94,1079.4,550.09,129.06,11.686,0.9025,85.062
26,5.2513,1012.7,87.374,3.6241,23.796,1084.4,549.93,132.86,11.692,0.6558,82.947
27,5.2734,1012.5,88.534,3.4224,22.208,1074.9,550.06,125.76,11.451,1.0513,83.447
28,5.9776,1012.5,90.679,3.5983,23.447,1082.3,550.02,130.63,11.622,0.76573,82.3
29,6.7676,1012.8,90.879,3.7007,24.205,1086.3,550.04,133.52,11.782,0.67836,82.355
30,7.571,1013,90.3,3.7149,24.198,1085.8,549.87,132.98,11.8,0.71119,80.614
31,9.2719,1013.2,91.475,3.8031,24.625,1088.5,549.87,133.67,11.92,0.83687,79.252
32,11.351,1013.1,88.317,3.7048,24.376,1086.6,549.85,133.68,11.88,0.9455,74.72
33,12.518,1012.6,79.374,3.6771,24.355,1085.9,549.71,133.67,11.897,1.3348,78.366
34,13.1,1011.9,74.68,3.7101,24.391,1086.2,549.63,133.67,11.91,1.7444,78.338
35,13.458,1011.7,72.249,3.7271,24.377,1086.6,549.83,133.64,11.856,1.8456,77.351
36,13.429,1011.5,71.494,3.3986,22.019,1072.5,550.12,123.68,11.224,1.1522,77.843
37,12.861,1011.7,76.197,3.4122,22.431,1074.5,549.7,125.72,11.324,1.3411,77.931
38,12.259,1011.8,79.056,4.6624,32.286,1099.6,531.41,158.68,13.734,0.39199,66.904
39,12.275,1011.8,77.068,4.5962,31.548,1099.7,533.5,157.24,13.602,0.30271,67.566
40,12.005,1011.7,77.77,4.6351,32.055,1100,531.87,158.75,13.711,0.28619,66.882
41,11.601,1011.6,80.789,4.6432,32.203,1100.1,530.83,159.5,13.84,0.31771,65.784
42,11.782,1011.4,82.954,4.688,32.395,1100.1,530.46,159.5,13.912,0.21372,66.586
43,12.624,1011.2,80.439,4.1993,28.359,1089.4,538.27,145.54,12.872,1.4903,70.248
44,12.308,1010.9,79.564,3.5436,23.611,1081.9,549.7,131.37,11.785,1.1282,76.463
45,11.432,1010.5,83.703,3.6061,24.101,1084.7,549.94,133.65,11.744,0.96691,76.97
46,11.387,1010.1,86.534,3.6333,24.244,1085.4,549.83,134.01,11.846,0.84245,74.86
47,11.736,1009.9,86.005,3.6463,24.214,1085.3,550.31,133.67,11.834,0.74312,74.746
48,11.728,1009.4,79.251,3.6098,24.152,1084.7,549.91,133.67,11.828,0.52938,74.94
49,11.384,1009.2,80.702,3.625,24.13,1084.4,549.87,133.66,11.822,0.53702,74.038
50,11.087,1008.9,86.122,3.6199,24.085,1084.6,550.08,133.68,11.81,0.56444,74.382
51,10.584,1008.7,91.258,3.5806,23.801,1083.4,550.16,132.98,11.725,0.5651,74.48
52,10.181,1008.7,94.865,3.6288,24.167,1085.1,549.72,134.47,11.693,0.52805,76.167
53,10.301,1008.5,96.316,3.6644,24.212,1084.8,549.17,134.3,11.896,0.65832,75.718
54,10.422,1008.5,96.764,4.6879,32.175,1100.2,531.59,159.83,13.746,0.1966,67.84
55,10.593,1008.1,98.27,4.722,32.482,1099.9,530.58,160.63,13.876,0.35119,67.889
56,10.555,1007.8,99.104,4.6722,32.111,1100.3,531.44,160.14,13.894,0.42092,68.51
57,10.528,1007.5,98.744,4.7348,32.48,1100,530,161.16,13.909,0.48485,68.315
58,10.254,1007.4,98.075,4.6774,32.061,1100.2,530.75,161.04,13.918,0.51052,68.877
59,9.8215,1007.7,96.687,4.6954,32.368,1099.9,529.5,162.15,13.953,0.46636,67.428
60,8.7987,1008.1,96.521,4.6598,32.339,1099.8,529.7,163.03,13.831,0.4018,69.13
61,7.9529,1008.5,97.918,4.6697,32.451,1100,529.03,163.5,13.922,0.24591,67.957
62,7.4649,1009.6,96.515,4.7244,32.879,1099.9,527.6,164.58,14.073,0.23934,68.939
63,7.321,1010.1,95.181,4.6731,32.662,1100,528.04,164.28,14.15,0.25726,69.301
64,6.9685,1010.6,96.88,4.7564,33.258,1100.1,526.15,165.62,14.247,0.26241,68.446
65,6.9214,1011.2,96.2,4.7221,33.053,1100,526.79,165.2,14.102,0.24452,68.694
66,6.9549,1011.9,94.708,3.4844,23.463,1083.2,549.97,134.12,11.85,0.89264,81.023
67,7.0389,1012.3,92.654,3.471,23.187,1082,549.94,132.7,11.673,1.0481,82.303
68,7.1611,1012.8,90.72,3.6157,23.842,1085.4,550.11,133.45,11.772,0.74785,81.579
69,7.3617,1013.5,88.991,3.6439,23.833,1085.8,549.72,133.69,11.844,0.68593,82.151
70,7.2594,1014.1,89.669,3.6328,23.791,1085.6,550.06,133.68,11.816,0.6525,82.837
71,6.9188,1014.5,89.859,3.6367,23.733,1085.4,549.9,133.69,11.789,0.77359,82.778
72,6.8903,1014.7,88.165,3.6331,23.732,1085.8,550.06,133.69,11.761,0.7649,82.335
73,6.7569,1015.1,88.41,3.6162,23.747,1085.5,550.24,133.65,11.733,0.64836,82.377
74,6.7155,1015.7,88.174,3.5792,23.549,1084.4,549.88,132.76,11.727,0.6272,82.408
75,6.817,1016.3,87.707,4.0272,27.276,1089.8,540.77,144.56,12.699,0.55501,77.364
76,6.8973,1016.7,88.241,4.6468,32.598,1100.4,527.78,163.61,14.056,0.051019,66.859
77,6.9282,1017.2,87.293,4.7146,33.185,1100.2,525.8,164.99,14.285,0.69285,67.14
78,6.9957,1017.5,87.652,4.7299,32.966,1099.6,526.66,164.67,14.166,1.0197,69.001
79,7.2848,1017.6,87.557,4.7188,32.71,1100,527.25,163.96,14.125,1.3279,70.335
80,7.4902,1018.2,85.956,4.7466,32.894,1099.9,526.59,164.43,14.14,0.17557,66.863
81,7.3078,1019.8,83.228,3.5579,23.395,1083.9,550.34,133.99,11.933,0.92083,85.298
82,7.3157,1019.9,79.696,3.5724,23.556,1085,549.77,134.49,11.964,1.187,84.955
83,7.3168,1020.1,79.75,3.5541,23.397,1084.1,549.74,133.72,11.923,1.3783,85.123
84,7.1878,1020.3,82.389,4.2138,28.507,1091.5,536.99,149.68,13.057,1.1073,76.661
85,7.1168,1020.4,85.501,3.6638,24.208,1088.9,549.98,137.65,12.038,0.99396,83.92
86,7.1325,1020.5,86.056,3.5491,23.282,1083.6,549.86,133.5,11.816,1.0812,84.553
87,7.2618,1020.5,87.237,3.5916,23.529,1085.3,550.06,134.44,11.928,1.0029,84.616
88,7.6137,1020.7,85.814,3.5924,23.531,1085,550.02,134.2,11.946,1.0528,83.808
89,7.8848,1020.6,85.039,3.5931,23.475,1084.4,550.03,133.69,11.888,1.0287,82.042
90,7.9395,1020.3,87.203,3.5841,23.426,1084.6,550.03,133.68,11.831,0.94843,82.344
91,7.9592,1020.2,87.339,3.571,23.441,1084.7,549.82,133.69,11.793,1.021,82.386
92,7.9442,1020.4,86.646,3.5717,23.43,1084.5,550.12,133.63,11.716,1.1397,82.603
93,8.0315,1020.7,88.747,3.5713,23.369,1084.3,549.87,133.43,11.759,1.0798,82.399
94,8.1683,1020.7,89.104,4.3989,29.952,1095.9,534.49,154.39,13.427,0.5243,71.349
95,8.4858,1021.1,87.738,4.8415,33.433,1100.1,525.18,164.52,14.294,0.35867,63.887
96,9.2573,1021.2,84.579,4.8112,33.012,1100.1,526.68,162.96,14.196,0.47136,66.184
97,10.061,1020.9,74.011,4.7807,32.484,1100.2,528.57,161.34,14.091,0.49222,67.861
98,10.577,1020.4,71.694,4.8093,32.646,1100.3,528.01,161.51,14.136,0.48567,66.557
99,10.628,1020,72.416,4.8102,32.513,1099.9,528.53,161.46,14.046,0.51512,67.88
100,10.451,1020.2,73.394,4.826,32.661,1099.6,528.11,161.87,14.115,0.70325,67.658
101,10.281,1020.4,69.09,4.8366,32.932,1099.9,526.84,163.2,14.148,0.74822,60.654
102,10.055,1020.7,69.491,4.8172,32.892,1100.3,526.99,163.11,14.221,0.073167,56.377
103,6.988,1021.5,82.347,3.5297,23.758,1083.8,548.96,135.11,11.937,0.44509,81.613
104,6.6543,1021.5,82.293,3.4638,23.219,1082.5,549.8,133.33,11.787,0.21186,81.806
105,5.4611,1021.8,87.63,3.4823,23.357,1083.3,549.71,134.37,11.825,0.4134,83.598
106,5.8372,1022.1,86.775,3.4991,23.428,1083.5,549.79,134.08,11.775,0.60293,84.423
107,7.0528,1022.2,79.474,3.5119,23.423,1083.5,550.18,133.46,11.682,0.31753,83.032
108,7.1873,1022.5,79.304,3.4888,23.218,1082.5,550.04,132.96,11.725,0.5396,84.707
109,6.6405,1022.1,82.613,3.5183,23.456,1084.1,549.92,134.35,11.884,0.8023,84.263
110,6.1033,1021.9,81.523,3.4937,23.222,1083,549.98,133.67,11.836,1.0618,84.708
111,5.4546,1021.6,81.919,3.4882,23.166,1083,549.84,133.67,11.787,0.96692,84.631
112,5.1361,1021.7,82.833,3.4777,23.113,1082.8,550.06,133.68,11.715,0.94812,84.55
113,4.9719,1022,84.008,3.527,23.5,1083.5,549.16,134.69,11.799,0.76725,84.277
114,6.7097,1022.8,80.685,4.6852,32.874,1100.1,526.13,165.17,14.199,0.21291,66.76
115,7.3372,1023,80.076,4.7698,33.322,1100,524.71,165.87,14.276,0.28478,65.495
116,7.6952,1022.8,81.974,4.7001,32.961,1100.4,526,165.2,14.301,0.30938,65.122
117,7.4018,1022.6,87.673,4.7564,33.441,1100,524.69,166.01,14.279,0.4273,66.026
118,7.8167,1022.2,88.135,4.6605,32.893,1100,526.21,164.73,14.177,0.72742,66.369
119,8.5781,1022,87.554,4.7183,33.079,1099.9,525.78,164.42,14.214,0.86749,67.327
120,9.841,1022.2,77.791,4.7141,32.624,1099.6,527.61,162.56,14.095,0.52366,69.291
121,10.084,1022.7,67.3,4.7721,33.023,1100.1,526.27,163.57,14.168,0.42837,67.311
122,9.5484,1023.1,68.062,4.7413,32.928,1100,526.54,163.75,14.172,0.64247,67.667
123,8.7161,1023.5,77.867,4.804,33.466,1100.3,525.02,165.54,14.288,0.82869,65.856
124,8.3411,1023.6,83.747,4.7442,33.01,1100.1,526.64,164.75,14.224,0.40453,64.856
125,7.9543,1023.7,84.187,4.818,33.623,1100,524.27,166.23,14.37,0.18232,63.19
126,7.5402,1023.8,85.149,4.8032,33.582,1100.2,524.53,166.31,14.364,0.19051,62.88
127,6.4237,1024.1,88.72,3.5543,23.638,1085.2,549.55,135.94,11.839,0.56878,81.787
128,6.3186,1024.3,89.401,3.5375,23.242,1083.7,550.02,133.39,11.81,0.55026,82.66
129,5.9587,1024.7,88.759,3.4538,22.41,1079.2,550.03,129.39,11.652,0.78055,83.35
130,5.9384,1025.1,89.319,3.514,22.867,1081.8,550.26,131.25,11.748,0.4963,82.267
131,5.7952,1025.2,90.142,3.6204,23.667,1086.2,549.92,134.68,11.891,0.5529,82.439
132,5.7183,1025.1,90.048,3.6658,23.831,1086.7,549.92,134.64,11.93,0.80307,83.672
133,5.9779,1025.3,90.087,3.6504,23.656,1085.9,549.96,133.69,11.888,0.87729,84.34
134,6.0551,1025.7,89.869,3.6526,23.607,1086,550.03,133.67,11.782,0.91205,85.008
135,6.1375,1026,90.147,4.0193,26.702,1088.6,540.97,142.94,12.639,0.75338,77.035
136,6.1271,1026.3,91.663,4.6899,32.44,1100.2,527.88,164.51,13.989,0.21314,62.508
137,6.4082,1026.6,93.512,4.7515,32.841,1099.9,526.79,164.8,14.169,0.26682,62.295
138,7.6426,1026.7,95.243,4.8098,33.178,1100.1,526.12,164.56,14.21,0.45902,71.277
139,9.4701,1026.4,91.873,4.821,33.135,1100.3,526.22,162.97,14.273,0.70367,63
140,10.94,1026,80.793,4.7821,32.783,1100.1,528.13,161.45,14.061,0.47882,63.865
141,11.613,1025.7,72.077,4.723,32.332,1100,529.62,159.84,13.924,0.76105,65.579
142,12.066,1025.6,68.019,4.8046,33.026,1099.8,527.36,161.38,14.078,0.72125,65.123
143,12.451,1025.6,66.261,4.7516,32.702,1100,528.41,160.7,14.137,0.62048,65.75
144,12.165,1025.8,70.975,4.7775,32.942,1100,527.86,161.7,14.062,0.35877,63.759
145,10.893,1025.8,81.178,4.7097,32.708,1099.7,528.3,162.39,14,0.40253,63.718
146,9.7483,1026,84.442,4.7864,33.2,1099.9,525.95,164.05,14.201,0.38365,61.525
147,8.6902,1026.2,86.248,4.8016,33.39,1100.1,525.48,165.26,14.35,0.1831,61.136
148,5.3738,1025.5,92.997,3.6186,23.507,1085,549.87,133.63,11.809,0.39318,83.742
149,5.4462,1025.4,92.273,3.6224,23.423,1084.1,550.09,132.46,11.691,0.40078,83.12
150,5.6988,1025.2,91.298,3.6646,23.787,1085.7,550.11,133.68,11.742,0.23094,81.935
151,5.8975,1025,89.942,3.6767,23.81,1086,549.91,133.68,11.792,0.26808,82.035
152,6.2033,1025,90.333,3.6926,23.853,1086.2,549.94,133.67,11.843,0.48698,81.863
153,6.664,1024.8,89.599,3.7025,23.866,1086.4,549.8,133.68,11.894,0.50802,82.024
154,7.2426,1024.8,89.653,3.7199,23.986,1086.6,550.14,133.67,11.885,0.51249,81.838
155,7.7232,1024.7,88.66,3.732,24.058,1087.1,549.78,133.67,11.831,0.50862,82.043
156,8.2577,1025.2,89.225,4.9813,34.192,1099.7,523.64,165.53,14.29,0.26595,60.702
157,8.7557,1025.2,90.718,4.9097,33.743,1100.2,524.57,165.05,14.35,0.36809,61.253
158,10.034,1024.6,91.102,4.8665,33.093,1099.9,526.7,162.46,14.176,0.64614,63.212
159,11.602,1024,86.834,4.8566,32.395,1100.1,529.12,160.38,14.129,0.39597,63.876
160,12.244,1023.5,81.09,4.8762,32.81,1100,528.08,160.99,14.06,0.65126,65.039
161,12.406,1023.4,78.961,4.8399,32.508,1100,529.14,160.39,13.979,0.80181,66.025
162,12.235,1023.2,78.744,4.8588,32.91,1100,527.76,161.21,14.056,0.69011,64.76
163,11.162,1023.5,83.697,4.8088,33.026,1099.9,527.36,162.39,14.059,0.26813,62.916
164,10.391,1023.5,84.728,4.7811,32.868,1100.5,527.82,162.77,14.052,0.1181,62.066
165,5.6607,1022.1,93.031,4.6318,31.87,1096.9,529.64,161.45,13.822,0.18008,67.245
166,5.0722,1021.8,94.437,3.6508,23.742,1085.3,549.99,134.67,11.826,0.84655,83.784
167,4.8119,1021.8,95.641,3.7089,23.956,1086.1,549.77,134.67,11.99,0.69797,85.327
168,5.087,1021.6,95.333,3.701,23.889,1085.9,550,134.19,11.921,0.70538,83.13
169,5.6301,1021.3,94.996,3.7019,23.865,1085.6,550.18,133.67,11.854,0.6526,82.13
170,5.912,1021.1,92.325,3.6872,23.854,1085.5,550.21,133.67,11.872,0.55639,82.267
171,6.126,1020.9,92.477,3.7003,23.902,1085.9,550.39,133.66,11.88,0.61335,82.381
172,6.3422,1021.1,91.589,3.6948,23.902,1085.9,550.32,133.68,11.885,0.72324,82.717
173,6.5693,1021.5,91.403,3.7042,23.949,1085.8,550.21,133.67,11.89,0.63502,82.069
174,7.2088,1021.8,92.697,3.7357,24.037,1086.3,550.09,133.67,11.867,0.7616,82.23
175,8.7186,1021.9,94.786,4.5142,30.271,1094.1,533.76,152.15,13.377,0.66976,70.248
176,10.116,1021.3,95.289,4.8032,32.622,1100.2,529.29,161.03,13.981,0.54997,65.812
177,11.933,1020.8,89.218,4.0719,26.939,1090.4,542.73,142.62,12.582,0.64332,73.211
178,12.712,1020.6,80.097,3.6912,23.903,1085,550.08,132.75,11.916,1.2855,77.391
179,12.786,1020.6,77.046,3.6758,23.884,1085,549.86,132.71,11.871,1.53,77.565
180,12.644,1020.6,78.916,3.6688,23.934,1084.8,549.62,132.7,11.843,1.5976,76.599
181,12.359,1020.7,80.353,4.0105,26.621,1089.3,543.22,141.2,12.554,0.55388,73.529
182,11.775,1021.1,85.075,4.7561,32.612,1099.8,528.97,161.03,13.863,0.10235,63.615
183,11.103,1021.3,86.579,4.8001,32.942,1100,528.24,162.07,14.049,0.24933,63.57
184,10.288,1021.5,90.595,4.8425,33.215,1100.4,526.67,163.04,14.231,0.2304,63.187
185,10.327,1021.3,90.844,4.8256,33.116,1099.7,527.54,163.13,14.171,0.060484,63.294
186,10.118,1021.1,91.666,4.8388,33.142,1100.3,527.23,163.22,14.188,0.10284,62.395
187,9.7843,1021.3,92.58,3.9486,26.272,1088.3,543.65,141.54,12.422,0.66276,73.833
188,9.4768,1021.3,92.894,3.6326,23.729,1084.5,549.81,133.72,11.756,0.90164,78.81
189,8.9205,1021.3,92.746,3.624,23.664,1083.6,550.07,133.68,11.773,0.94351,79.818
190,8.2064,1021.4,93.097,3.62,23.612,1083.4,549.85,133.68,11.781,0.95038,79.632
191,7.2737,1021.4,92.66,3.5984,23.518,1083.6,550.06,133.65,11.749,0.90212,80.996
192,6.8282,1021.6,94.082,3.5954,23.49,1083.5,550.03,133.68,11.684,0.90758,81.695
193,6.5604,1022,94.003,3.582,23.467,1082.9,549.86,133.66,11.625,0.73845,82.395
194,6.2478,1022.4,93.688,3.6292,23.899,1085.7,549.84,135.86,11.829,0.48045,81.7
195,8.3623,1023,97.383,4.8415,33.19,1099.9,527.26,163.42,14.109,0.22317,67.683
196,12.438,1022.7,89.87,4.826,32.61,1100,529.09,159.85,13.982,0.58427,63.733
197,12.5,1022.2,88.542,4.7984,32.309,1100,530.33,159.23,13.898,0.45382,64.144
198,12.734,1022.3,87.678,4.8288,32.536,1099.9,529.32,159.51,13.963,0.48485,63.126
199,13.173,1022.3,87.318,4.7692,32.168,1100,530.5,158.78,13.886,0.606,63.205
200,13.22,1022.4,88.004,4.815,32.671,1100.1,528.65,160.33,13.985,0.35112,63.31
201,12.585,1022.4,86.053,4.7732,32.569,1100,529.47,160.64,13.966,0.39113,63.916
202,11.631,1022.6,88.012,4.8621,33.207,1100,526.92,162.92,14.145,0.34812,63.306
203,10.248,1022.5,88.104,4.8049,32.98,1100.2,527.4,163.17,14.142,0.31793,63.764
204,9.3432,1022.3,88.377,4.838,33.314,1100.3,526.04,164.27,14.256,0.28585,62.054
205,8.672,1022.3,91.782,4.8685,33.303,1099.9,525.88,164.78,14.262,0.042178,61.785
206,8.2761,1021.7,97.845,4.6235,31.101,1096.3,531.58,157.74,13.543,0.075581,67.095
207,8.8891,1021.4,96.629,3.6468,23.808,1085,549.87,134.33,11.9,0.71929,79.709
208,9.2962,1021.4,94.508,3.6242,23.706,1084.3,550.17,133.7,11.821,0.74741,79.63
209,9.2916,1021,94.266,3.6384,23.746,1084,550,133.7,11.794,0.76143,79.456
210,9.2871,1020.7,94.223,3.638,23.753,1084.2,549.79,133.69,11.801,0.94791,76.977
211,9.2303,1020.5,94.5,3.645,23.765,1084.6,550.1,133.7,11.799,1.228,78.657
212,9.1345,1020.4,94.833,3.6445,23.758,1084.1,550.02,133.66,11.766,1.3051,79.917
213,9.1202,1020.5,94.625,3.6461,23.781,1084.4,550.15,133.87,11.832,1.2658,79.391
214,9.2353,1020.5,95.418,4.5044,30.303,1093.6,533.46,153.35,13.374,0.86745,66.676
215,9.5996,1020.4,95.576,4.7824,32.468,1100.1,529.48,161.54,13.939,0.38971,64.18
216,10.721,1020.1,95.343,4.8516,32.736,1100,528.55,160.91,14.015,0.45075,64.45
217,11.886,1019.5,89.475,4.7898,32.239,1100.2,530.17,159.21,13.959,0.85709,65.438
218,12.592,1018.8,85.4,4.8055,32.402,1100.3,529.86,159.13,13.975,0.55692,64.506
219,13.208,1018.1,82.978,4.7682,32.127,1100.4,530.93,158.39,13.922,0.35207,66.333
220,13.182,1017.8,82.286,4.8112,32.429,1100.3,529.97,158.97,13.992,0.34776,66.272
221,13.311,1017.7,84.476,4.7736,32.195,1100.1,530.61,158.54,13.94,0.33955,66.374
222,13.56,1017.7,83.76,4.8042,32.644,1100.3,529.17,159.89,14.057,0.35361,64.699
223,13.103,1017.8,84.476,4.7299,32.03,1100.1,531.41,159.04,13.697,0.23169,66.524
224,10.367,1017.5,90.466,4.8384,33.001,1100.4,527.98,162.75,14.152,0.020174,63.831
225,9.7836,1017.3,92.113,4.894,33.387,1100.1,526.43,164.15,14.275,0.023605,63.326
